                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.82508,                0.66681,                0.99613,                0.92604,                0.85499,                0.91906,                0.76763,                0.66586,                0.50564,                0.89593,               0.002971,               0.002971,               0.002971
                     73,                0.78934,                0.65418,                 1.0033,                0.90301,                0.87009,                0.91955,                0.76367,                0.67583,                0.50496,                0.89744,               0.002872,               0.002872,               0.002872
                     74,                0.79398,                0.63888,                0.98858,                 0.9182,                0.85709,                 0.9129,                  0.767,                 0.6663,                0.49842,                0.89345,               0.002773,               0.002773,               0.002773
                     75,                0.79084,                 0.6531,                0.99041,                0.91441,                0.85414,                0.91224,                0.76641,                0.65744,                 0.4928,                0.88949,               0.002674,               0.002674,               0.002674
                     76,                0.76483,                0.62107,                0.97566,                0.92535,                0.85987,                0.91631,                0.76929,                0.65399,                0.49139,                0.88822,               0.002575,               0.002575,               0.002575
                     77,                0.73892,                0.61346,                0.98531,                0.93679,                0.85298,                 0.9162,                0.77738,                0.65103,                0.48915,                0.88694,               0.002476,               0.002476,               0.002476
                     78,                0.75558,                0.62887,                0.98436,                0.94243,                0.85949,                0.92022,                0.77862,                0.64245,                0.48051,                0.88441,               0.002377,               0.002377,               0.002377
                     79,                0.76589,                0.60425,                0.98616,                0.93153,                0.86165,                0.92165,                0.77839,                0.63871,                0.47547,                0.88225,               0.002278,               0.002278,               0.002278
                     80,                0.73022,                0.60067,                0.99271,                0.93733,                 0.8591,                0.92098,                0.78158,                0.63307,                0.47224,                0.88169,               0.002179,               0.002179,               0.002179
                     81,                0.74345,                0.58805,                0.98931,                0.93242,                0.86689,                0.92691,                0.78363,                0.62859,                0.46815,                0.88132,                0.00208,                0.00208,                0.00208
                     82,                0.73425,                0.60764,                0.97553,                0.93119,                0.87165,                0.92709,                0.78653,                0.62538,                0.46377,                0.88086,               0.001981,               0.001981,               0.001981
                     83,                0.72436,                0.60258,                0.99266,                0.93517,                0.86444,                 0.9221,                0.78757,                 0.6226,                0.47042,                0.88107,               0.001882,               0.001882,               0.001882
                     84,                0.74922,                0.58902,                0.96547,                0.94309,                0.85854,                0.92156,                0.78796,                0.61826,                0.47048,                  0.881,               0.001783,               0.001783,               0.001783
                     85,                0.74129,                0.59335,                0.99375,                0.94961,                0.85522,                0.92098,                0.78798,                0.61473,                  0.462,                0.87762,               0.001684,               0.001684,               0.001684
                     86,                0.74149,                0.60254,                0.98687,                0.94346,                 0.8587,                0.92737,                0.79127,                0.61713,                0.45967,                0.87681,               0.001585,               0.001585,               0.001585
                     87,                0.75193,                 0.6058,                0.99392,                0.94281,                0.86162,                0.92805,                0.79076,                0.61579,                0.45919,                0.87689,               0.001486,               0.001486,               0.001486
                     88,                0.72368,                0.58064,                0.97988,                0.93965,                0.86161,                0.92499,                0.79783,                 0.6061,                0.45878,                0.87448,               0.001387,               0.001387,               0.001387
                     89,                0.73498,                0.59477,                0.97179,                0.90517,                0.88925,                0.92873,                0.79815,                0.60196,                 0.4525,                0.87257,               0.001288,               0.001288,               0.001288
                     90,                0.72044,                0.58988,                0.94643,                0.90292,                0.89127,                0.92807,                0.79823,                0.60332,                0.44797,                0.87222,               0.001189,               0.001189,               0.001189
                     91,                0.76239,                0.60922,                0.96215,                0.90567,                0.88721,                0.92871,                0.79498,                0.60824,                0.45133,                0.87247,                0.00109,                0.00109,                0.00109
                     92,                0.71827,                 0.5674,                0.95382,                0.90943,                0.88349,                0.92656,                0.79127,                0.61537,                0.45493,                0.87305,               0.000991,               0.000991,               0.000991
                     93,                0.72895,                0.55917,                 0.9343,                 0.9089,                0.88295,                0.92672,                0.79201,                0.62025,                0.45816,                0.87328,               0.000892,               0.000892,               0.000892
                     94,                0.71783,                0.55532,                0.93548,                0.91493,                0.88064,                0.92715,                0.79632,                0.61361,                0.45691,                0.87197,               0.000793,               0.000793,               0.000793
                     95,                0.66925,                0.51405,                0.91848,                0.91876,                0.87576,                0.92677,                0.79721,                0.61263,                0.45797,                0.87161,               0.000694,               0.000694,               0.000694
                     96,                0.68643,                0.53867,                0.93966,                0.91934,                 0.8812,                0.92784,                0.79883,                  0.608,                0.45766,                0.87073,               0.000595,               0.000595,               0.000595
                     97,                0.69198,                0.53021,                0.94037,                0.92013,                0.88497,                0.92903,                0.79793,                 0.6036,                0.45411,                0.86941,               0.000496,               0.000496,               0.000496
                     98,                0.67598,                 0.5205,                0.95219,                0.92503,                0.88196,                0.92891,                0.79977,                0.59954,                0.45119,                0.86814,               0.000397,               0.000397,               0.000397
                     99,                0.68943,                 0.5191,                0.92942,                0.92551,                0.88136,                0.92705,                0.80102,                0.59761,                0.44873,                0.86746,               0.000298,               0.000298,               0.000298
